x,v
-9.564355,92.320769
-8.760879,152.469654
-7.583887,206.118055
-6.083560,250.978694
-4.323861,285.138955
-2.379817,307.142429
-0.334310,316.051006
1.725449,311.484873
3.711646,293.638704
5.539597,263.273365
7.131370,221.683470
8.419100,170.642187
9.347885,112.325641
9.878126,49.220136
9.987218,-15.983850
9.670508,-80.506372
8.941500,-141.596535
7.831275,-196.649786
6.387166,-243.318951
4.670743,-279.614308
2.755185,-303.988419
0.722160,-315.402103
-1.341653,-313.368742
-3.348266,-297.975029
-5.212127,-269.877267
-6.853770,-230.273394
-8.203206,-180.851905
-9.202902,-123.719866
-9.810235,-61.313080
-9.999313,3.707766
-9.762074,68.570532
-9.108633,130.509821
-8.066849,186.884874
-6.681138,235.292165
-5.010579,273.667867
-3.126396,300.375847
-1.108921,314.277420
0.955833,314.779900
2.979835,301.861862
4.876793,276.074062
6.565831,238.515953
7.974938,190.788811
9.044036,134.927462
9.727545,73.313534
9.996324,8.573912
9.838914,-56.531255
9.262025,-119.226234
8.290254,-176.838049
6.965031,-226.910444
5.342856,-267.308602
3.492891,-296.310162
1.494008,-312.678655
-0.568571,-315.716216
-2.606910,-305.293341
-4.534104,-281.854404
-6.267988,-246.398715
-7.734639,-200.437914
-8.871527,-145.931522
-9.630181,-85.203396
-9.978256,-20.842657
-9.900911,44.406701
-9.401446,107.762796
-8.501153,166.524467
-7.238417,218.186432
-5.667074,260.546105
-3.854118,291.797497
-1.876842,310.608218
0.180451,316.176279
2.230052,308.264289
4.184575,287.209572
5.960690,253.909788
7.482673,209.784660
8.685636,156.715446
9.518290,96.964730
9.945135,33.079960
9.947974,-32.215160
9.526685,-96.136799
8.699229,-155.959684
7.500885,-209.133290
5.982743,-253.390579
4.209530,-286.844661
2.256845,-308.069233
0.207941,-316.159395
-1.849830,-310.770225
-3.828733,-292.131489
-5.644400,-261.037842
-7.219420,-218.814949
-8.486643,-167.262967
-9.392041,-108.579793
-9.897013,-45.267363
-9.980030,19.975023
-9.637552,84.365782
-8.884182,145.159639
-7.752037,199.764672
-6.289387,245.852817
-4.558592,281.459123
-2.633443,305.065531
-0.596019,315.665589
1.466817,312.807369
3.467116,296.612730
5.319595,267.772124
6.945276,227.515159
8.274847,177.558174
9.251624,120.031066
9.833961,57.386481
9.997032,-7.704754
9.733882,-72.467500
9.055733,-134.140623
7.991496,-190.094712
6.586544,-237.944189
4.900778,-275.649009
3.006069,-301.601641
0.983198,-314.695606
-1.081592,-314.372648
-3.100268,-300.646535
-4.986766,-274.102476
-6.660655,-235.872165
-8.050569,-187.585537
-9.097251,-131.301274
-9.756075,-69.419032
-9.998953,-4.577137
-9.815529,60.459902
-9.213624,122.919257
-8.218899,180.137998
-6.873765,229.676626
-5.235571,269.423081
-3.374161,297.682790
-1.368894,313.250909
0.694735,315.463700
2.728744,304.226819
4.646414,280.019348
6.365987,243.873362
7.814148,197.329930
