n,alg,time
1000,b1,0.000002
1100,b1,0.000003
1200,b1,0.000004
1300,b1,0.000006
1400,b1,0.000008
1500,b1,0.000009
1600,b1,0.000011
1700,b1,0.000013
1800,b1,0.000015
1900,b1,0.000017
2000,b1,0.000019
1000,b2,0.001119
1100,b2,0.002461
1200,b2,0.004072
1300,b2,0.005974
1400,b2,0.008394
1500,b2,0.011467
1600,b2,0.014497
1700,b2,0.017950
1800,b2,0.021759
1900,b2,0.026075
2000,b2,0.030447
