alg,n,time
polynomial,15,1.519000
polynomial,15,2.025000
polynomial,15,2.131000
polynomial,15,0.187000
polynomial,15,0.161000
polynomial,15,0.185000
polynomial,15,2.950000
polynomial,15,0.159000
polynomial,15,0.968000
polynomial,15,0.279000
cspline,15,0.228000
cspline,15,0.213000
cspline,15,0.291000
cspline,15,0.349000
cspline,15,0.287000
cspline,15,0.397000
cspline,15,0.267000
cspline,15,0.294000
cspline,15,0.338000
cspline,15,0.460000
akima,15,0.287000
akima,15,0.283000
akima,15,0.293000
akima,15,0.306000
akima,15,0.293000
akima,15,0.293000
akima,15,0.324000
akima,15,0.283000
akima,15,0.345000
akima,15,1.060000
lagrange,15,0.079000
lagrange,15,0.048000
lagrange,15,0.048000
lagrange,15,0.048000
lagrange,15,0.048000
lagrange,15,0.048000
lagrange,15,0.048000
lagrange,15,0.067000
lagrange,15,0.049000
lagrange,15,0.390000
newton,15,0.057000
newton,15,0.052000
newton,15,0.060000
newton,15,0.058000
newton,15,0.048000
newton,15,0.048000
newton,15,0.092000
newton,15,0.048000
newton,15,0.048000
newton,15,0.120000
