alg,x,y
lagrange,40.000000,6.000000
lagrange,45.000000,38.791532
lagrange,50.000000,33.729320
lagrange,55.000000,15.878968
lagrange,60.000000,1.000000
lagrange,65.000000,-5.105363
lagrange,70.000000,-3.366228
lagrange,75.000000,2.332400
lagrange,80.000000,8.000000
lagrange,85.000000,11.076277
lagrange,90.000000,10.823343
lagrange,95.000000,7.967074
lagrange,100.000000,4.000000
lagrange,105.000000,0.473067
lagrange,110.000000,-1.520142
lagrange,115.000000,-1.584115
lagrange,120.000000,-0.000000
lagrange,125.000000,2.484256
lagrange,130.000000,4.952551
lagrange,135.000000,6.611471
lagrange,140.000000,7.000000
lagrange,145.000000,6.078677
lagrange,150.000000,4.194289
lagrange,155.000000,1.946192
lagrange,160.000000,-0.000000
lagrange,165.000000,-1.098635
lagrange,170.000000,-1.062774
lagrange,175.000000,0.076421
lagrange,180.000000,2.000000
lagrange,185.000000,4.208537
lagrange,190.000000,6.174313
lagrange,195.000000,7.494434
lagrange,200.000000,7.999999
lagrange,205.000000,7.786986
lagrange,210.000000,7.155631
lagrange,215.000000,6.472772
lagrange,220.000000,5.999996
lagrange,225.000000,5.751863
lagrange,230.000000,5.454257
lagrange,235.000000,4.655804
lagrange,240.000000,2.999991
lagrange,245.000000,0.593326
lagrange,250.000000,-1.685473
lagrange,255.000000,-2.175236
lagrange,260.000000,0.999978
lagrange,265.000000,8.576088
lagrange,270.000000,18.075649
lagrange,275.000000,21.699064
lagrange,280.000000,5.999955
lagrange,285.000000,-42.941998
lagrange,290.000000,-122.174980
lagrange,295.000000,-171.267676
lagrange,300.000000,8.999916
newton,20.000000,2.000000
newton,25.000000,-320.326431
newton,30.000000,-234.368780
newton,35.000000,-88.225283
newton,40.000000,6.000000
newton,45.000000,38.791532
newton,50.000000,33.729320
newton,55.000000,15.878968
newton,60.000000,1.000000
newton,65.000000,-5.105363
newton,70.000000,-3.366228
newton,75.000000,2.332400
newton,80.000000,8.000000
newton,85.000000,11.076277
newton,90.000000,10.823343
newton,95.000000,7.967074
newton,100.000000,4.000000
newton,105.000000,0.473067
newton,110.000000,-1.520142
newton,115.000000,-1.584115
newton,120.000000,0.000000
newton,125.000000,2.484256
newton,130.000000,4.952551
newton,135.000000,6.611471
newton,140.000000,7.000000
newton,145.000000,6.078677
newton,150.000000,4.194289
newton,155.000000,1.946193
newton,160.000000,-0.000000
newton,165.000000,-1.098635
newton,170.000000,-1.062774
newton,175.000000,0.076422
newton,180.000000,2.000000
newton,185.000000,4.208538
newton,190.000000,6.174314
newton,195.000000,7.494434
newton,200.000000,8.000001
newton,205.000000,7.786987
newton,210.000000,7.155633
newton,215.000000,6.472774
newton,220.000000,6.000001
newton,225.000000,5.751866
newton,230.000000,5.454264
newton,235.000000,4.655811
newton,240.000000,2.999996
newton,245.000000,0.593337
newton,250.000000,-1.685460
newton,255.000000,-2.175230
newton,260.000000,0.999999
newton,265.000000,8.576101
newton,270.000000,18.075670
newton,275.000000,21.699091
newton,280.000000,5.999982
newton,285.000000,-42.941941
newton,290.000000,-122.174938
newton,295.000000,-171.267687
newton,300.000000,8.999958
