n,fun,fft_val
1,5.000000e-01,-1.554312e-15
2,4.938442e-01,-1.122105e-14
3,4.755283e-01,4.611398e-15
4,4.455033e-01,1.056474e-15
5,4.045085e-01,-8.209621e-15
6,3.535534e-01,-8.034833e-15
7,2.938926e-01,3.211938e-15
8,2.269952e-01,-8.508887e-15
9,1.545085e-01,-2.382924e-15
10,7.821723e-02,5.000000e+01
11,3.061617e-17,-2.985389e-14
12,-7.821723e-02,6.266957e-15
13,-1.545085e-01,-5.585360e-15
14,-2.269952e-01,1.477901e-15
15,-2.938926e-01,6.647085e-15
16,-3.535534e-01,-2.236431e-15
17,-4.045085e-01,-1.016007e-14
18,-4.455033e-01,8.882094e-15
19,-4.755283e-01,-9.014995e-16
20,-4.938442e-01,1.909214e-15
21,-5.000000e-01,-5.886786e-16
22,-4.938442e-01,5.335444e-15
23,-4.755283e-01,-5.338578e-15
24,-4.455033e-01,2.140514e-15
25,-4.045085e-01,5.121892e-15
26,-3.535534e-01,4.507137e-15
27,-2.938926e-01,3.503367e-16
28,-2.269952e-01,2.931280e-15
29,-1.545085e-01,4.146100e-16
30,-7.821723e-02,-2.521215e-16
31,-9.184851e-17,5.227736e-15
32,7.821723e-02,-5.776469e-16
33,1.545085e-01,4.874713e-15
34,2.269952e-01,2.894705e-15
35,2.938926e-01,-6.046758e-15
36,3.535534e-01,-5.623151e-16
37,4.045085e-01,8.329874e-15
38,4.455033e-01,-4.493306e-15
39,4.755283e-01,2.585804e-15
40,4.938442e-01,-3.565749e-16
41,5.000000e-01,-5.782017e-16
42,4.938442e-01,-7.200150e-16
43,4.755283e-01,3.085031e-17
44,4.455033e-01,-5.191180e-15
45,4.045085e-01,-8.615236e-16
46,3.535534e-01,-3.380920e-16
47,2.938926e-01,-1.822694e-15
48,2.269952e-01,-5.041715e-15
49,1.545085e-01,5.763443e-16
50,7.821723e-02,-9.913106e-16
51,5.971701e-16,-6.298065e-15
52,-7.821723e-02,4.657821e-15
53,-1.545085e-01,-1.811330e-15
54,-2.269952e-01,1.907094e-15
55,-2.938926e-01,5.519433e-15
56,-3.535534e-01,-5.106606e-15
57,-4.045085e-01,1.447873e-15
58,-4.455033e-01,8.178607e-16
59,-4.755283e-01,-3.445976e-15
60,-4.938442e-01,-1.230714e-15
61,-5.000000e-01,-5.315787e-15
62,-4.938442e-01,-1.674042e-15
63,-4.755283e-01,-2.373688e-15
64,-4.455033e-01,5.686509e-15
65,-4.045085e-01,1.156976e-15
66,-3.535534e-01,-6.555360e-16
67,-2.938926e-01,-1.521178e-15
68,-2.269952e-01,1.318993e-15
69,-1.545085e-01,-4.767899e-15
70,-7.821723e-02,2.044405e-15
71,-1.102492e-15,2.503009e-15
72,7.821723e-02,2.057259e-15
73,1.545085e-01,-1.421664e-15
74,2.269952e-01,-3.288970e-15
75,2.938926e-01,-1.141600e-15
76,3.535534e-01,1.110978e-14
77,4.045085e-01,-3.732553e-15
78,4.455033e-01,1.232752e-15
79,4.755283e-01,3.337871e-15
80,4.938442e-01,-4.875268e-15
81,5.000000e-01,4.140341e-15
82,4.938442e-01,4.223339e-15
83,4.755283e-01,-1.293508e-15
84,4.455033e-01,1.071735e-15
85,4.045085e-01,-1.165921e-15
86,3.535534e-01,-2.196459e-16
87,2.938926e-01,4.532154e-15
88,2.269952e-01,3.147255e-15
89,1.545085e-01,1.604868e-15
90,7.821723e-02,-1.118424e-15
91,2.755455e-16,1.980473e-15
92,-7.821723e-02,-4.161341e-15
93,-1.545085e-01,-1.276440e-15
94,-2.269952e-01,9.928850e-15
95,-2.938926e-01,2.855723e-15
96,-3.535534e-01,-7.984083e-15
97,-4.045085e-01,5.776612e-16
98,-4.455033e-01,4.242677e-15
99,-4.755283e-01,6.487677e-15
100,-4.938442e-01,-1.332268e-15
101,-5.000000e-01,2.220446e-16
