n,fun,fft_val
1,5.000000e-01,-8.943945e-15
2,4.755283e-01,-4.368445e-15
3,4.045085e-01,-5.978484e-15
4,2.938926e-01,-1.333984e-14
5,1.545085e-01,5.205441e-15
6,3.061617e-17,-2.256242e-15
7,-1.545085e-01,-4.624438e-15
8,-2.938926e-01,-5.394956e-15
9,-4.045085e-01,-1.152646e-14
10,-4.755283e-01,-4.245970e-15
11,-5.000000e-01,-2.921667e-15
12,-4.755283e-01,-1.211215e-14
13,-4.045085e-01,-1.283472e-15
14,-2.938926e-01,6.703930e-15
15,-1.545085e-01,-6.351643e-15
16,-9.184851e-17,-8.041719e-15
17,1.545085e-01,8.148846e-15
18,2.938926e-01,-1.174983e-14
19,4.045085e-01,-4.246505e-15
20,4.755283e-01,5.000000e+01
21,5.000000e-01,-5.039405e-14
22,4.755283e-01,1.076831e-14
23,4.045085e-01,-1.370215e-15
24,2.938926e-01,9.452764e-15
25,1.545085e-01,2.882236e-16
26,5.971701e-16,-5.203039e-15
27,-1.545085e-01,-3.482359e-15
28,-2.938926e-01,8.505042e-15
29,-4.045085e-01,2.075366e-15
30,-4.755283e-01,2.903243e-15
31,-5.000000e-01,1.540241e-15
32,-4.755283e-01,9.304458e-15
33,-4.045085e-01,-9.949984e-15
34,-2.938926e-01,-6.623142e-15
35,-1.545085e-01,7.738740e-15
36,-1.102492e-15,7.648588e-15
37,1.545085e-01,-3.203392e-15
38,2.938926e-01,-4.247923e-15
39,4.045085e-01,1.906633e-15
40,4.755283e-01,4.117694e-15
41,5.000000e-01,-2.813158e-15
42,4.755283e-01,6.842831e-15
43,4.045085e-01,5.540528e-15
44,2.938926e-01,9.560817e-15
45,1.545085e-01,-2.095658e-15
46,2.755455e-16,-1.163483e-14
47,-1.545085e-01,2.004927e-14
48,-2.938926e-01,-7.406997e-15
49,-4.045085e-01,-2.604072e-15
50,-4.755283e-01,-1.348727e-15
51,-5.000000e-01,-4.967032e-15
52,-4.755283e-01,-5.096721e-15
53,-4.045085e-01,-4.582418e-15
54,-2.938926e-01,3.838010e-16
55,-1.545085e-01,-3.349737e-16
56,5.514005e-16,-2.022801e-15
57,1.545085e-01,-7.176896e-15
58,2.938926e-01,-6.461019e-15
59,4.045085e-01,-8.710324e-15
60,4.755283e-01,4.901264e-15
61,5.000000e-01,-3.855375e-15
62,4.755283e-01,1.256500e-14
63,4.045085e-01,-7.172803e-15
64,2.938926e-01,-2.290879e-15
65,1.545085e-01,7.693516e-15
66,1.286189e-15,1.159762e-14
67,-1.545085e-01,-5.034229e-15
68,-2.938926e-01,4.209445e-15
69,-4.045085e-01,1.531421e-16
70,-4.755283e-01,-1.191453e-14
71,-5.000000e-01,-1.340976e-15
72,-4.755283e-01,5.090784e-15
73,-4.045085e-01,-8.169875e-15
74,-2.938926e-01,1.302210e-14
75,-1.545085e-01,-9.579753e-16
76,-1.347421e-15,-2.385097e-15
77,1.545085e-01,5.576257e-15
78,2.938926e-01,9.226690e-15
79,4.045085e-01,-5.409566e-15
80,4.755283e-01,4.645893e-15
81,5.000000e-01,8.382854e-15
82,4.755283e-01,-3.906551e-15
83,4.045085e-01,-5.424257e-15
84,2.938926e-01,1.357081e-14
85,1.545085e-01,2.599837e-15
86,1.408653e-15,5.827753e-15
87,-1.545085e-01,-6.493228e-15
88,-2.938926e-01,1.065445e-14
89,-4.045085e-01,2.021222e-14
90,-4.755283e-01,-9.184536e-15
91,-5.000000e-01,6.597632e-15
92,-4.755283e-01,2.548356e-15
93,-4.045085e-01,5.205814e-15
94,-2.938926e-01,5.198746e-16
95,-1.545085e-01,4.194742e-15
96,3.064712e-16,-8.884525e-15
97,1.545085e-01,9.507385e-15
98,2.938926e-01,-1.208522e-15
99,4.045085e-01,5.256437e-15
100,4.755283e-01,-5.329071e-15
101,5.000000e-01,-3.490553e-15
102,4.755283e-01,-8.152048e-15
103,4.045085e-01,-8.129791e-17
104,2.938926e-01,2.967088e-15
105,1.545085e-01,-1.453266e-15
106,-2.452389e-16,-1.113115e-14
107,-1.545085e-01,-1.779205e-15
108,-2.938926e-01,9.386697e-16
109,-4.045085e-01,-9.243121e-17
110,-4.755283e-01,1.725414e-14
111,-5.000000e-01,-7.113636e-15
112,-4.755283e-01,-5.298012e-15
113,-4.045085e-01,1.691844e-14
114,-2.938926e-01,-3.764041e-15
115,-1.545085e-01,-8.159054e-17
116,-1.592350e-15,5.904546e-15
117,1.545085e-01,8.933707e-16
118,2.938926e-01,-1.133595e-15
119,4.045085e-01,9.853723e-15
120,4.755283e-01,-4.645893e-15
121,5.000000e-01,-5.363770e-15
122,4.755283e-01,5.575981e-15
123,4.045085e-01,1.173127e-14
124,2.938926e-01,-1.117501e-14
125,1.545085e-01,1.117556e-14
126,-1.227742e-16,-1.283689e-14
127,-1.545085e-01,1.802260e-14
128,-2.938926e-01,-2.474442e-14
129,-4.045085e-01,-1.623280e-14
130,-4.755283e-01,5.697282e-15
131,-5.000000e-01,-7.134278e-15
132,-4.755283e-01,-1.124572e-14
133,-4.045085e-01,7.057958e-16
134,-2.938926e-01,-1.789464e-14
135,-1.545085e-01,-1.778571e-14
136,1.837899e-15,1.494491e-14
137,1.545085e-01,-2.403992e-14
138,2.938926e-01,7.041790e-15
139,4.045085e-01,6.160729e-15
140,4.755283e-01,-1.995629e-15
141,5.000000e-01,6.832403e-15
142,4.755283e-01,-4.404360e-15
143,4.045085e-01,-3.857581e-15
144,2.938926e-01,6.351111e-15
145,1.545085e-01,-3.060545e-15
146,3.552404e-15,-1.180957e-14
147,-1.545085e-01,1.101381e-15
148,-2.938926e-01,4.090105e-15
149,-4.045085e-01,-8.125419e-15
150,-4.755283e-01,-7.088968e-15
151,-5.000000e-01,6.135198e-15
152,-4.755283e-01,-1.770369e-15
153,-4.045085e-01,-9.084316e-15
154,-2.938926e-01,-4.741908e-15
155,-1.545085e-01,-7.655791e-15
156,-1.837280e-15,-2.547953e-15
157,1.545085e-01,-1.031474e-14
158,2.938926e-01,-5.687866e-15
159,4.045085e-01,-9.459134e-15
160,4.755283e-01,7.241257e-15
161,5.000000e-01,-8.600344e-15
162,4.755283e-01,-2.182320e-17
163,4.045085e-01,-1.229951e-15
164,2.938926e-01,-6.347970e-15
165,1.545085e-01,-2.005323e-14
166,1.221552e-16,2.757569e-14
167,-1.545085e-01,-1.869519e-14
168,-2.938926e-01,1.892219e-14
169,-4.045085e-01,7.612993e-15
170,-4.755283e-01,3.314006e-15
171,-5.000000e-01,-3.324599e-15
172,-4.755283e-01,8.726131e-15
173,-4.045085e-01,5.799224e-16
174,-2.938926e-01,1.700528e-14
175,-1.545085e-01,1.573163e-14
176,-1.959744e-15,-3.502709e-15
177,1.545085e-01,1.293418e-14
178,2.938926e-01,-4.152912e-15
179,4.045085e-01,-3.831322e-15
180,4.755283e-01,3.552714e-15
181,5.000000e-01,6.560631e-16
182,4.755283e-01,5.753591e-15
183,4.045085e-01,7.110912e-15
184,2.938926e-01,-8.973244e-15
185,1.545085e-01,-4.094334e-15
186,2.446199e-16,9.827891e-15
187,-1.545085e-01,4.648462e-15
188,-2.938926e-01,-5.631540e-16
189,-4.045085e-01,6.614985e-15
190,-4.755283e-01,6.780774e-15
191,-5.000000e-01,-7.208643e-15
192,-4.755283e-01,6.428754e-16
193,-4.045085e-01,7.747615e-15
194,-2.938926e-01,-4.568484e-15
195,-1.545085e-01,9.215630e-15
196,1.470505e-15,-8.888903e-16
197,1.545085e-01,3.880451e-15
198,2.938926e-01,-2.279298e-15
199,4.045085e-01,7.747453e-15
200,4.755283e-01,-1.326052e-14
